# z u u_p F_integral F_diff k du_dz
8.150000000000000577e-01 1.959765920024641355e-07 1.854804084757341638e-07 1.756515292402296836e+03 1.756425032492054015e+03 5.417908664752555126e+01 -3.330652640884445417e-06
8.200000000000000622e-01 1.798503347640452711e-07 1.675561199233916736e-07 1.714182454684431377e+03 1.714135425802982581e+03 5.201275041027240320e+01 -3.120491432509378369e-06
8.250000000000000666e-01 1.647716776773703497e-07 1.506434107600753134e-07 1.668615615203464358e+03 1.668611590805072638e+03 4.986657775976954809e+01 -2.912278237530687092e-06
8.300000000000000711e-01 1.507275523887384002e-07 1.347508662096359994e-07 1.620158603654230546e+03 1.620196520230777423e+03 4.774254412170040496e+01 -2.707330634853017507e-06
8.349999999999999645e-01 1.376983713288401757e-07 1.198826484563780788e-07 1.569208938541180032e+03 1.569286851652359928e+03 4.564264129671157377e+01 -2.506923890156507264e-06
8.399999999999999689e-01 1.256583134871733255e-07 1.060382500022531671e-07 1.516210970936886042e+03 1.516326035510297743e+03 4.356887394699892724e+01 -2.312261626629526959e-06
8.449999999999999734e-01 1.145757550625449039e-07 9.321227670677303592e-08 1.461647071509805755e+03 1.461795549071521691e+03 4.152325581811790300e+01 -2.124447868825901954e-06
8.499999999999999778e-01 1.044138347989143070e-07 8.139426847589196202e-08 1.406027112913085148e+03 1.406204407209309466e+03 3.950780568425612671e+01 -1.944461766532949090e-06
8.549999999999999822e-01 9.513113739721541304e-08 7.056856624407712511e-08 1.349876606047660516e+03 1.350077327105004088e+03 3.752454300481743843e+01 -1.773136215227324785e-06
8.599999999999999867e-01 8.668247264664105861e-08 6.071423445633058167e-08 1.293723940677564087e+03 1.293941995795393723e+03 3.557548327978077651e+01 -1.611141414274881892e-06
8.649999999999999911e-01 7.901972325446659412e-08 5.180504864202325528e-08 1.238087250995559089e+03 1.238315959558238092e+03 3.366263309089399769e+01 -1.458974152902255440e-06
8.699999999999999956e-01 7.209273111761850474e-08 4.380955780463086928e-08 1.183461468810090309e+03 1.183693696249066306e+03 3.178798481535210740e+01 -1.316953303483766312e-06
8.750000000000000000e-01 6.585019021962893153e-08 3.669123114165660390e-08 1.130306136620454936e+03 1.130534441448839743e+03 2.995351099818949692e+01 -1.185221653901944381e-06
8.800000000000000044e-01 6.024051457859906145e-08 3.040869795494313541e-08 1.079034527768652197e+03 1.079251314452275210e+03 2.816115836918312354e+01 -1.063753851525385182e-06
8.850000000000000089e-01 5.521265170437507998e-08 2.491608840031055135e-08 1.030004561418835920e+03 1.030202231022191427e+03 2.641284148962657952e+01 -9.523698880587081859e-07
8.900000000000000133e-01 5.071681569801197986e-08 2.016348083820477029e-08 9.835119092185050249e+02 9.836829993360158824e+02 2.471043601387696853e+01 -8.507532534560919969e-07
8.950000000000000178e-01 4.670511916981415975e-08 1.609745886723923806e-08 9.397855734783598791e+02 9.399228789664661008e+02 2.305577155012363733e+01 -7.584726510264872724e-07
9.000000000000000222e-01 4.313208918774710661e-08 1.266177754834563436e-08 8.989860809967196928e+02 8.990827474642155721e+02 2.145062410434550770e+01 -6.750060119094980169e-07
9.050000000000000266e-01 3.995505905071917984e-08 9.798133789554531067e-09 8.612062912389744724e+02 8.612558740972972373e+02 1.989670809094712922e+01 -5.997654851484602157e-07
9.100000000000000311e-01 3.713443433626250418e-08 7.447030347967498313e-09 8.264746723619547311e+02 8.264711554109734379e+02 1.839566789306524086e+01 -5.321221114348362327e-07
9.150000000000000355e-01 3.463383793637081778e-08 5.548716491897836588e-09 7.947607636288663571e+02 7.946985325434577589e+02 1.694906895503200772e+01 -4.714290079289634048e-07
9.200000000000000400e-01 3.242014425697287014e-08 4.044181252984904787e-09 7.659824276096544509e+02 7.658561951440224220e+02 1.555838838896365672e+01 -4.170420846950624484e-07
9.250000000000000444e-01 3.046341708942019303e-08 2.876167751260948864e-09 7.400144084414193912e+02 7.398190894869171643e+02 1.422500507691385074e+01 -3.683375606382212382e-07
9.300000000000000488e-01 2.873676865059065762e-08 1.990169865542808411e-09 7.166976596484987567e+02 7.164281952301555521e+02 1.295018924948784367e+01 -3.247258249164838411e-07
9.350000000000000533e-01 2.721615884025535462e-08 1.335366347876242921e-09 6.958488904482546786e+02 6.955000200431190933e+02 1.173509152126360355e+01 -2.856614735886335572e-07
9.400000000000000577e-01 2.588015391470432179e-08 8.654433759070352869e-10 6.772698040908475150e+02 6.768357849622528875e+02 1.058073136279580240e+01 -2.506496166094418147e-07
9.450000000000000622e-01 2.470966267416093661e-08 5.392557165191094359e-10 6.607555634862900433e+02 6.602298336451517571e+02 9.487984988402855535e+00 -2.192487762682319763e-07
9.500000000000000666e-01 2.368766615202200202e-08 3.212804164383525610e-10 6.461021128832584282e+02 6.454768902987390220e+02 8.457572638345983052e+00 -1.910708690126343223e-07
9.550000000000000711e-01 2.279895398403459338e-08 1.818263630834043962e-10 6.331121014173041885e+02 6.323779055239779154e+02 7.490045233402801372e+00 -1.657788690942690955e-07
9.599999999999999645e-01 2.202987746107931094e-08 9.697880534094884209e-11 6.215992841546623140e+02 6.207443555727182911e+02 6.585770379223945703e+00 -1.430827926500442632e-07
9.649999999999999689e-01 2.136812605753415075e-08 4.827970331174945461e-11 6.113914063274581849e+02 6.104009855517491587e+02 5.744917697227251985e+00 -1.227346198505419809e-07
9.699999999999999734e-01 2.080253126257389113e-08 2.217092536267079348e-11 6.023316937911056357e+02 6.011870970312820646e+02 4.967443458142470902e+00 -1.045227019293696613e-07
9.749999999999999778e-01 2.032289903824045414e-08 9.254460206485263865e-12 5.942791654169983531e+02 5.929565617576753311e+02 4.253074493659523725e+00 -8.826609500308660615e-08
9.799999999999999822e-01 1.991987031254302507e-08 3.446933683820824877e-12 5.871080421411455745e+02 5.855767836956484871e+02 3.601291360962159516e+00 -7.380914143061010124e-08
9.849999999999999867e-01 1.958480762393435312e-08 1.118860083441898151e-12 5.807065483560652410e+02 5.789268214573761497e+02 3.011310734242293563e+00 -6.101649931283788669e-08
9.899999999999999911e-01 1.930970531941464620e-08 3.069603040446158851e-13 5.749753857788938376e+02 5.728948131683808924e+02 2.482066996589680663e+00 -4.976871578989272566e-08
9.949999999999999956e-01 1.908712046603542587e-08 6.835823618493620929e-14 5.698261153956406133e+02 5.673747026407146450e+02 2.012193004935681095e+00 -3.995835927408878230e-08
1.000000000000000000e+00 1.891012172667375838e-08 1.170087328396601768e-14 5.651907738470324603e+02 5.507345798317538765e+02 1.600000000000000089e+00 -3.084113647057821481e-08
