# z u u_p F_integral F_diff k du_dz
8.999999999999999667e-02 2.560955456208554240e-06 2.561045944199646014e-06 4.431292592405585040e+00 4.421497532368361405e+00 1.999685088529641348e+02 -3.094560939556666515e-08
9.500000000000000111e-02 2.560788406976080731e-06 2.560888886328177025e-06 5.175467980191379880e+00 5.165149187993554492e+00 1.999609062474788743e+02 -3.614897693871172433e-08
1.000000000000000056e-01 2.560593966439167123e-06 2.560704978813758481e-06 6.000412494598548641e+00 5.989567905182528129e+00 1.999520038398971451e+02 -4.191691366717335528e-08
1.049999999999999961e-01 2.560369237839408997e-06 2.560491325316591338e-06 6.910379526842030273e+00 6.899007091114717660e+00 1.999416613732442158e+02 -4.827896288681443149e-08
1.100000000000000006e-01 2.560111176810298979e-06 2.560244881953411530e-06 7.909623020589095610e+00 7.897720659918979536e+00 1.999297314310587126e+02 -5.526462096592938398e-08
1.150000000000000050e-01 2.559816591629749703e-06 2.559962457556451651e-06 9.002397522111930783e+00 8.989963088541186309e+00 1.999160594460992968e+02 -6.290332983294633258e-08
1.199999999999999956e-01 2.559482143511969515e-06 2.559640713972096311e-06 1.019295823591398076e+01 1.017998947652258046e+01 1.999004837103835257e+02 -7.122446871832171828e-08
1.250000000000000000e-01 2.559104346942566486e-06 2.559276166403093179e-06 1.148556108564988421e+01 1.147205560977399230e+01 1.998828353866925056e+02 -8.025734510484029477e-08
1.300000000000000044e-01 2.558679570060921112e-06 2.558865183798334257e-06 1.288446278005580403e+01 1.287041802853195094e+01 1.998629385216732430e+02 -9.003118485146507336e-08
1.350000000000000089e-01 2.558204035094051835e-06 2.558403989294466243e-06 1.439392088371915079e+01 1.437933409965773635e+01 1.998406100606772213e+02 -1.005751214559665187e-07
1.400000000000000133e-01 2.557673818846361447e-06 2.557888660713706203e-06 1.601819389265320126e+01 1.600306209311839822e+01 1.998156598644936537e+02 -1.119181844196121174e-07
1.449999999999999900e-01 2.557084853249855714e-06 2.557315131122432259e-06 1.776154131446574169e+01 1.774586126261162988e+01 1.997878907281155705e+02 -1.240892866783832864e-07
1.499999999999999944e-01 2.556432925979577614e-06 2.556679189455313896e-06 1.962822375289806232e+01 1.961199193050614653e+01 1.997570984017129376e+02 -1.371172110670500633e-07
1.549999999999999989e-01 2.555713681139185214e-06 2.555976481209910740e-06 2.162250299659219266e+01 2.160571557665898723e+01 1.997230716139640094e+02 -1.510305957785800169e-07
1.600000000000000033e-01 2.554922620021791814e-06 2.555202509216852088e-06 2.374864211186968532e+01 2.373129493107326837e+01 1.996855920979207042e+02 -1.658579187846612483e-07
1.650000000000000078e-01 2.554055101951338601e-06 2.554352634490869541e-06 2.601090553923002346e+01 2.599299407013674212e+01 1.996444346195951880e+02 -1.816274811821029121e-07
1.700000000000000122e-01 2.553106345209970785e-06 2.553422077168141884e-06 2.841355919316143641e+01 2.839507851607576328e+01 1.995993670094247250e+02 -1.983673894297072790e-07
1.750000000000000167e-01 2.552071428057041528e-06 2.552405917535601467e-06 3.096087056485642464e+01 3.094181533926194305e+01 1.995501501968271327e+02 -2.161055364409273424e-07
